hash,author_date,files_changed,insertions,deletions,message_length,label,total_complexity,max_complexity,total_nloc,max_duplication_similarity,security_issues_low,security_issues_medium,security_issues_high
95084c9ca8b3c33d6f16bf63f9c041aa6e442641,2013-01-26 15:54:06+00:00,1,1,1,17,0,36,36,242,0.9996711015701294,2,36,0
250896b7f3a049843dc976f9e466f90e145108cc,2013-01-26 16:55:08+00:00,1,21,2,20,0,34,34,235,1.0,2,35,0
ac5e6807faeb7b3d81b3f2b6db619a19939fb634,2013-01-26 17:05:19+00:00,0,21,2,70,0,0,0,0,0.0,0,0,0
40a060cf579a7f0996c92eed578148e526d9416f,2013-01-27 01:04:12+00:00,9,38,39,18,0,408,140,1324,1.0,2,35,3
318300848f0ef96d603e25ae185e6f0a08fd9cc9,2013-01-28 03:01:39+00:00,3,10,8,55,0,209,140,759,1.0,2,36,0
dfa89e299ab06f1d817d74e1155f432debd93bb3,2013-01-28 03:10:16+00:00,0,14,0,60,0,0,0,0,0.0,0,0,0
25545b393bcfe2802237325cc9bdcce5fe17a6f4,2013-01-28 03:11:15+00:00,0,38,39,64,0,0,0,0,0.0,0,0,0
c8ad4f0b73bb37d1eecb369142a6d267b77cc994,2013-01-28 16:53:02+00:00,2,3,4,65,0,95,61,339,0.9999996423721313,0,0,0
231e343a3b9809e82d73656d1e22ce2ec3c046b1,2013-01-28 17:40:10+00:00,0,3,4,94,0,0,0,0,0.0,0,0,0
207a2744aa9f9e31f47647ec6a15710c418c6e95,2013-01-29 04:52:17+00:00,0,10,0,65,0,0,0,0,0.0,0,0,0
a95bfd30324b59f54de7b18ae6209aecfe5c87fc,2013-01-30 04:50:37+00:00,2,53,15,30,1,99,63,467,1.0,2,36,0
ba485913b624d997675760120abd6da2e6d69a34,2013-01-30 15:58:32+00:00,1,2,6,44,1,61,61,217,0.9992144107818604,0,0,0
79727abb32a3d149f788cc605afb62824d97f8ec,2013-01-30 20:22:24+00:00,1,1,1,139,0,0,0,0,0.0,0,0,0
9ff8cbe5fb5e917b95dcbd6bc81e43d35dcbbb16,2013-01-30 23:33:43+00:00,1,1,1,59,0,112,112,282,0.9996355175971985,0,0,0
b554b0c1cbc8e172679d9485b9c32b86b5999887,2013-01-30 23:54:20+00:00,0,1,1,76,0,0,0,0,0.0,0,0,0
85da715f401245c7c68893a7b476b2cbc1d11dce,2013-01-30 23:56:21+00:00,0,1,1,91,0,0,0,0,0.0,0,0,0
12246afab87da55cf6b2da781a630eea33b4bf2a,2013-01-31 13:20:14+00:00,1,1,1,3,0,0,0,0,0.0,0,0,0
113b67c06962df7b191d19811cb9ff58604467d6,2013-01-31 14:35:42+00:00,1,1,1,4,0,0,0,0,0.0,0,0,0
b07c1ebd859a32e1203c1d4ef27f1fb9e154e55e,2013-01-31 18:32:00+00:00,1,1,1,113,0,61,61,199,0.9999998211860657,0,0,0
ae55676a50d8e4a0591a8f8f5f0c31d694206bbe,2013-02-01 15:30:47+00:00,0,1,1,112,0,0,0,0,0.0,0,0,0
544d08d0f61c35358cf13b4a6b677e4e51dbbe7e,2013-02-01 16:55:02+00:00,1,2,0,59,0,142,142,380,0.9995928406715393,0,0,0
9fc7059140fd5130881d593f2f1e543722b8f23e,2013-02-05 19:42:51+00:00,0,49,15,111,0,0,0,0,0.0,0,0,0
d437c338d0bfe4a88d9c3efa1a1802603ee9cc97,2013-02-06 18:24:23+00:00,3,33,1,52,1,189,114,689,1.000000238418579,2,36,0
b0657cf163b2ed3781896eb1712a8ae1b14125ab,2013-02-06 18:48:47+00:00,2,9,0,48,0,100,62,472,0.9999791979789734,2,36,0
ff954e16f141bac5696632a50db31cbaf3746044,2013-02-06 19:01:24+00:00,1,8,2,15,0,0,0,0,0.0,0,0,0
c68f928254d56ef7d5a82979728b8c9879d2280f,2013-02-06 19:53:55+00:00,0,8,2,60,0,0,0,0,0.0,0,0,0
03f6908fe9af23449ae70fe0438a2054f540730b,2013-02-06 21:05:04+00:00,0,33,1,76,0,0,0,0,0.0,0,0,0
3299771e3497199adda6ad6354f78742806cd320,2013-02-08 02:08:20+00:00,1,18,17,196,1,62,62,219,0.9999996423721313,0,0,0
